time	outflow	compound	condition	study	time_shift	time_exp
8.70360234909627	2.098099	galactose	B	gor1973	-4.95165865090373	13.655261
9.89220634909627	2.0607622	galactose	B	gor1973	-4.95165865090373	14.843865
11.0071103490963	1.9829624	galactose	B	gor1973	-4.95165865090373	15.958769
12.2710703490963	1.870178	galactose	B	gor1973	-4.95165865090373	17.222729
13.4596763490963	1.836897	galactose	B	gor1973	-4.95165865090373	18.411335
14.7236363490963	1.7324204	galactose	B	gor1973	-4.95165865090373	19.675295
15.7653883490963	1.6002029	galactose	B	gor1973	-4.95165865090373	20.717047
16.8802913490963	1.5397906	galactose	B	gor1973	-4.95165865090373	21.83195
18.2190563490963	1.4231356	galactose	B	gor1973	-4.95165865090373	23.170715
19.4076613490963	1.3978101	galactose	B	gor1973	-4.95165865090373	24.35932
20.6705183490963	1.373143	galactose	B	gor1973	-4.95165865090373	25.622177
21.8602273490963	1.2948472	galactose	B	gor1973	-4.95165865090373	26.811886
23.0499343490963	1.2210158	galactose	B	gor1973	-4.95165865090373	28.001593
24.3133443490963	1.1752745	galactose	B	gor1973	-4.95165865090373	29.265003
1.53609565764978	0.09901982	RBC	C	gor1973	-2.29161404235022	3.8277097
1.90877695764978	1.121382	RBC	C	gor1973	-2.29161404235022	4.200391
3.14562135764978	11.252305	RBC	C	gor1973	-2.29161404235022	5.4372354
4.54358195764978	13.873718	RBC	C	gor1973	-2.29161404235022	6.835196
5.73729945764978	7.989854	RBC	C	gor1973	-2.29161404235022	8.0289135
7.01889945764978	3.5962086	RBC	C	gor1973	-2.29161404235022	9.3105135
8.29724395764978	1.7573647	RBC	C	gor1973	-2.29161404235022	10.588858
9.57233295764978	0.9323734	RBC	C	gor1973	-2.29161404235022	11.863947
10.7538459576498	0.73088986	RBC	C	gor1973	-2.29161404235022	13.04546
12.1591289576498	0.74895144	RBC	C	gor1973	-2.29161404235022	14.450743
13.4000429576498	0.94220793	RBC	C	gor1973	-2.29161404235022	15.691657
2.39619095764978	0.097233824	sucrose	C	gor1973	-2.29161404235022	4.687805
3.24489455764978	0.91634095	sucrose	C	gor1973	-2.29161404235022	5.5365086
4.44105395764978	3.570886	sucrose	C	gor1973	-2.29161404235022	6.732668
5.66976165764978	6.1148415	sucrose	C	gor1973	-2.29161404235022	7.9613757
6.99367395764978	6.801502	sucrose	C	gor1973	-2.29161404235022	9.285288
8.32816495764978	5.7911377	sucrose	C	gor1973	-2.29161404235022	10.619779
9.59023395764978	4.269094	sucrose	C	gor1973	-2.29161404235022	11.881848
10.8523049576498	3.1470783	sucrose	C	gor1973	-2.29161404235022	13.143919
12.1135609576498	2.3681388	sucrose	C	gor1973	-2.29161404235022	14.405175
13.3764449576498	1.7102171	sucrose	C	gor1973	-2.29161404235022	15.668059
14.4822809576498	1.2601931	sucrose	C	gor1973	-2.29161404235022	16.773895
15.8208409576498	0.9681829	sucrose	C	gor1973	-2.29161404235022	18.112455
17.2318219576498	0.85914195	sucrose	C	gor1973	-2.29161404235022	19.523436
18.3287069576498	0.79369915	sucrose	C	gor1973	-2.29161404235022	20.620321
19.6599429576498	0.7337125	sucrose	C	gor1973	-2.29161404235022	21.951557
20.9895519576498	0.7067265	sucrose	C	gor1973	-2.29161404235022	23.281166
22.3175319576498	0.70930386	sucrose	C	gor1973	-2.29161404235022	24.609146
2.70865725764978	0.097317144	galactose	C	gor1973	-2.29161404235022	5.0002713
3.19281695764978	0.4745439	galactose	C	gor1973	-2.29161404235022	5.484431
4.47034745764978	1.7036378	galactose	C	gor1973	-2.29161404235022	6.7619615
5.77961295764978	2.7434452	galactose	C	gor1973	-2.29161404235022	8.071227
7.18408345764978	2.869629	galactose	C	gor1973	-2.29161404235022	9.4756975
8.36152695764978	2.493024	galactose	C	gor1973	-2.29161404235022	10.653141
9.54059795764978	2.0786042	galactose	C	gor1973	-2.29161404235022	11.832212
10.8742749576498	1.8065857	galactose	C	gor1973	-2.29161404235022	13.165889
12.1290219576498	1.6024337	galactose	C	gor1973	-2.29161404235022	14.420636
13.2242809576498	1.5425049	galactose	C	gor1973	-2.29161404235022	15.515895
14.6360749576498	1.3409306	galactose	C	gor1973	-2.29161404235022	16.927689
15.8883789576498	1.2650597	galactose	C	gor1973	-2.29161404235022	18.179993
17.1398719576498	1.21827	galactose	C	gor1973	-2.29161404235022	19.431486
18.5492229576498	1.126436	galactose	C	gor1973	-2.29161404235022	20.840837
19.7999019576498	1.1073036	galactose	C	gor1973	-2.29161404235022	22.091516
21.0513939576498	1.0663486	galactose	C	gor1973	-2.29161404235022	23.343008
22.3020709576498	1.0482368	galactose	C	gor1973	-2.29161404235022	24.593685
23.6316799576498	1.0096827	galactose	C	gor1973	-2.29161404235022	25.923294
24.8815449576498	1.0131478	galactose	C	gor1973	-2.29161404235022	27.173159
26.1330359576498	0.9756753	galactose	C	gor1973	-2.29161404235022	28.42465
27.3055979576498	0.95889825	galactose	C	gor1973	-2.29161404235022	29.597212
