y_cell,y_sin,L,y_dis,flow_sin,sim
9.62547634131539e-07,3.75498721497283e-06,0.000486465156626948,7.26543303613153e-07,1.64431997512956e-05,60
4.30129646231559e-06,4.45237314639595e-06,0.000449484128895312,7.2317595618972e-07,1.59864322779984e-05,61
4.98157621298964e-06,4.07222401290292e-06,0.000661059725316048,8.73740319244912e-07,4.13210934710459e-05,63
1.36835175763739e-05,4.10827442389237e-06,0.000547322245706984,7.74983095421515e-07,4.55377607659917e-05,66
1.02269434684739e-05,4.16464019920838e-06,0.000499274189421536,8.74241591733998e-07,4.5482758225924e-05,67
8.21355925707728e-06,3.73449310947065e-06,0.000528893610964069,4.6609990449118e-07,1.14503717525115e-05,68
2.2810114863714e-05,5.01788666287403e-06,0.000575041978389136,6.11239226274404e-07,2.00508206941508e-05,70
2.04072086344572e-06,4.68779282108019e-06,0.000528481278063774,1.53443166709998e-06,0.000136062467208391,72
7.4125301668728e-06,4.42807909467823e-06,0.000580292654220795,7.46147399245599e-07,1.58350873558571e-05,77
3.84207729954461e-06,4.01529880477296e-06,0.000519674530057439,5.65829780199166e-07,6.2044850281458e-05,78
7.97381380798459e-06,4.92983354296804e-06,0.000480695598490289,7.3790367386306e-07,5.70135986961233e-05,79
1.50354029147177e-06,4.27277943730263e-06,0.000447256483515205,4.11221639295117e-07,3.26096236956577e-05,81
2.08519341899153e-06,4.27579136620583e-06,0.000556792281939259,7.1044897801605e-07,3.64184942370337e-05,86
2.218298056605e-06,4.11149438651018e-06,0.000382025094195874,5.11586714959191e-07,2.75338259948108e-05,87
2.44153149471531e-06,3.83442408719556e-06,0.000473588966268018,1.07024671938297e-06,0.000135697488568064,88
6.96436924773596e-06,4.40972248782243e-06,0.00054978605258234,9.67793975825297e-07,0.000314314888631195,92
3.56268720735449e-06,4.64396264251775e-06,0.00051978676400593,8.34094401679717e-07,4.35605283898357e-05,93
6.33121047378515e-06,4.25246222751706e-06,0.000487489430225003,3.9643120970271e-07,7.33733347245945e-05,94
2.69070856718439e-06,4.30363414153369e-06,0.000469062589489912,6.94654754216891e-07,1.59126448636044e-05,95
1.04019816479e-06,4.34654636427809e-06,0.000445748846052653,2.9185853643292e-07,1.41221277962377e-05,96
8.28571219427644e-07,5.05462537333961e-06,0.000515740880077963,5.41964091552237e-07,1.67364898553656e-05,97
